R,V,S,E,P,H,landslide
0.504,0.834,0.26,0.549,0.538,0.646,1
0.312,0.227,0.724,0.878,0.807,0.781,1
0.737,0.587,0.893,0.294,0.855,0.436,1
0.663,0.505,0.44,0.161,0.525,0.155,0
0.209,0.334,0.672,0.502,0.37,0.088,1
0.767,0.456,0.442,0.56,0.232,0.497,0
0.825,0.606,0.924,0.497,0.568,0.536,1
0.564,0.425,0.303,0.451,0.476,0.774,0
0.325,0.374,0.235,0.708,0.908,0.137,0
0.738,0.919,0.629,0.915,0.751,0.614,1
0.633,0.468,0.507,0.845,0.683,0.478,0
0.098,0.454,0.869,0.38,0.171,0.799,1
0.548,0.587,0.954,0.344,0.528,0.466,0
0.276,0.422,0.444,0.726,0.19,0.567,0
0.851,0.684,0.515,0.691,0.317,0.209,0
0.406,0.56,0.892,0.251,0.121,0.445,0
0.413,0.802,0.657,0.606,0.656,0.436,1
0.109,0.215,0.909,0.368,0.339,0.38,1
0.547,0.272,0.652,0.65,0.957,0.34,1
0.713,0.533,0.712,0.396,0.188,0.521,1
0.555,0.685,0.359,0.687,0.855,0.471,1
0.168,0.597,0.948,0.378,0.593,0.56,0
0.21,0.097,0.842,0.148,0.394,0.591,0
0.562,0.833,0.687,0.367,0.528,0.239,1
0.734,0.211,0.835,0.66,0.341,0.084,0
0.539,0.842,0.87,0.19,0.901,0.892,1
0.302,0.74,0.729,0.442,0.276,0.557,1
0.699,0.291,0.631,0.444,0.633,0.771,1
0.379,0.418,0.649,0.834,0.465,0.731,0
0.63,0.234,0.406,0.712,0.627,0.714,0
0.157,0.788,0.735,0.87,0.733,0.212,1
0.705,0.619,0.423,0.717,0.423,0.74,1
0.445,0.322,0.229,0.095,0.17,0.361,1
0.674,0.31,0.662,0.601,0.739,0.876,1
0.722,0.509,0.872,0.351,0.22,0.666,0
0.384,0.38,0.78,0.983,0.275,0.422,1
0.519,0.247,0.461,0.226,0.725,0.132,0
0.932,0.519,0.684,0.047,0.651,0.388,1
0.517,0.682,0.61,0.375,0.787,0.452,1
0.444,0.628,0.321,0.806,0.562,0.149,1
0.835,0.51,0.788,0.498,0.445,0.534,1
0.63,0.093,0.584,0.837,0.056,0.904,1
0.538,0.142,0.853,0.895,0.536,0.192,0
0.178,0.766,0.94,0.803,0.398,0.177,1
0.565,0.573,0.867,0.814,0.573,0.411,1
0.357,0.339,0.215,0.498,0.113,0.295,0
0.861,0.695,0.168,0.83,0.519,0.352,1
0.45,0.615,0.717,0.661,0.426,0.82,0
0.43,0.564,0.272,0.356,0.271,0.329,1
0.663,0.206,0.503,0.138,0.226,0.661,1
0.742,0.542,0.81,0.737,0.594,0.401,1
0.697,0.752,0.388,0.297,0.657,0.739,1
0.721,0.267,0.744,0.481,0.31,0.648,1
0.728,0.608,0.841,0.781,0.657,0.855,1
0.1,0.534,0.843,0.564,0.608,0.262,1
0.36,0.114,0.499,0.444,0.771,0.268,1
0.653,0.335,0.804,0.304,0.171,0.681,1
0.205,0.665,0.701,0.309,0.541,0.23,0
0.726,0.911,0.726,0.271,0.203,0.504,0
0.731,0.256,0.694,0.606,0.567,0.503,0
0.216,0.68,0.198,0.587,0.081,0.444,0
0.324,0.468,0.989,0.584,0.47,0.464,1
0.347,0.493,0.914,0.555,0.221,0.608,1
0.713,0.06,0.472,0.375,0.325,0.431,1
0.35,0.578,0.674,0.693,0.818,0.611,1
0.284,0.404,0.59,0.824,0.576,0.295,1
0.655,0.482,0.654,0.895,0.355,0.703,1
0.561,0.501,0.55,0.047,0.756,0.055,1
0.53,0.295,0.452,0.809,0.408,0.293,1
0.478,0.316,0.571,0.651,0.277,0.911,1
0.651,0.587,0.714,0.468,0.403,0.081,0
0.392,0.575,0.943,0.342,0.107,0.828,1
0.403,0.279,0.502,0.376,0.585,0.882,1
0.225,0.886,0.411,0.837,0.441,0.635,0
0.794,0.207,0.843,0.673,0.399,0.513,1
0.328,0.437,0.846,0.409,0.589,0.34,1
0.066,0.576,0.574,0.467,0.25,0.625,1
0.462,0.865,0.265,0.394,0.653,0.264,1
0.338,0.622,0.906,0.923,0.159,0.359,0
0.799,0.688,0.153,0.101,0.121,0.838,0
0.707,0.598,0.42,0.494,0.646,0.592,1
0.348,0.473,0.789,0.289,0.427,0.864,1
0.294,0.28,0.327,0.53,0.603,0.341,0
0.886,0.386,0.845,0.638,0.572,0.73,1
0.32,0.802,0.894,0.615,0.194,0.727,1
0.787,0.652,0.743,0.301,0.514,0.083,0
0.776,0.459,0.773,0.93,0.788,0.834,1
0.228,0.539,0.94,0.259,0.258,0.443,1
0.643,0.45,0.372,0.577,0.633,0.754,1
0.541,0.558,0.698,0.19,0.472,0.275,0
0.558,0.292,0.82,0.292,0.795,0.694,1
0.585,0.388,0.922,0.744,0.354,0.572,0
0.761,0.823,0.928,0.063,0.569,0.704,1
0.672,0.688,0.488,0.492,0.308,0.351,1
0.257,0.626,0.297,0.609,0.753,0.563,1
0.359,0.193,0.68,0.177,0.64,0.673,1
0.875,0.399,0.816,0.504,0.612,0.404,1
0.782,0.512,0.774,0.526,0.32,0.689,1
0.811,0.777,0.556,0.321,0.657,0.496,1
0.101,0.298,0.53,0.393,0.156,0.896,0
0.578,0.553,0.618,0.78,0.248,0.791,1
0.845,0.587,0.852,0.805,0.266,0.61,0
0.495,0.489,0.804,0.872,0.11,0.405,0
0.832,0.775,0.599,0.23,0.168,0.248,1
0.452,0.909,0.29,0.849,0.4,0.418,1
0.228,0.287,0.727,0.745,0.881,0.356,1
0.473,0.628,0.917,0.491,0.276,0.464,1
0.167,0.352,0.534,0.414,0.646,0.695,0
0.407,0.653,0.733,0.795,0.55,0.693,0
0.27,0.702,0.739,0.22,0.475,0.483,1
0.675,0.552,0.87,0.447,0.533,0.591,1
0.099,0.373,0.273,0.157,0.597,0.591,0
0.542,0.147,0.533,0.697,0.495,0.382,1
0.842,0.239,0.315,0.154,0.694,0.933,1
0.627,0.842,0.379,0.641,0.541,0.372,1
0.833,0.124,0.801,0.228,0.687,0.452,1
0.777,0.287,0.932,0.269,0.449,0.477,0
0.839,0.51,0.816,0.926,0.421,0.818,1
0.943,0.235,0.689,0.783,0.85,0.39,1
0.252,0.194,0.514,0.892,0.562,0.262,0
0.337,0.44,0.762,0.597,0.475,0.817,0
0.762,0.68,0.614,0.479,0.238,0.793,1
0.269,0.876,0.831,0.593,0.775,0.676,1
0.502,0.547,0.255,0.225,0.977,0.571,0
0.771,0.777,0.648,0.362,0.484,0.38,1
0.874,0.29,0.523,0.278,0.559,0.513,0
0.455,0.864,0.7,0.573,0.223,0.384,1
0.762,0.656,0.42,0.467,0.142,0.818,1
0.793,0.535,0.166,0.201,0.862,0.461,1
0.539,0.527,0.802,0.528,0.619,0.577,1
0.837,0.641,0.208,0.076,0.454,0.175,0
0.307,0.697,0.89,0.618,0.927,0.542,1
0.221,0.193,0.563,0.643,0.536,0.053,1
0.408,0.626,0.477,0.493,0.41,0.15,0
0.554,0.4,0.602,0.618,0.472,0.254,0
0.595,0.549,0.383,0.479,0.048,0.431,1
0.414,0.572,0.525,0.191,0.799,0.074,0
0.607,0.599,0.221,0.615,0.303,0.296,0
0.929,0.127,0.957,0.352,0.814,0.485,1
0.472,0.517,0.508,0.189,0.768,0.411,1
0.574,0.786,0.332,0.879,0.463,0.911,1
0.499,0.717,0.48,0.429,0.259,0.786,1
0.945,0.276,0.429,0.563,0.52,0.374,1
0.275,0.518,0.284,0.759,0.223,0.173,0
0.809,0.33,0.692,0.431,0.212,0.768,1
0.298,0.572,0.598,0.295,0.5,0.658,0
0.339,0.579,0.126,0.709,0.309,0.687,0
0.228,0.471,0.553,0.58,0.183,0.328,0
0.707,0.614,0.558,0.316,0.423,0.401,1
0.616,0.824,0.456,0.235,0.426,0.563,1
0.494,0.756,0.43,0.307,0.883,0.382,1
0.741,0.106,0.891,0.626,0.589,0.531,1
0.365,0.767,0.774,0.489,0.676,0.796,0
0.635,0.33,0.578,0.413,0.321,0.587,0
0.853,0.477,0.077,0.903,0.418,0.359,0
0.424,0.811,0.818,0.646,0.767,0.395,1
0.421,0.418,0.743,0.765,0.408,0.785,1
0.642,0.243,0.793,0.404,0.613,0.926,1
0.828,0.48,0.498,0.567,0.533,0.868,1
0.642,0.686,0.756,0.233,0.855,0.385,0
0.535,0.671,0.341,0.85,0.821,0.152,0
0.388,0.494,0.74,0.153,0.217,0.528,0
0.737,0.396,0.353,0.855,0.389,0.142,1
0.709,0.546,0.538,0.454,0.875,0.699,0
0.525,0.443,0.558,0.327,0.468,0.277,1
0.647,0.53,0.708,0.453,0.192,0.64,1
0.618,0.527,0.652,0.392,0.779,0.69,1
0.191,0.55,0.598,0.353,0.853,0.532,1
0.578,0.596,0.234,0.565,0.485,0.387,1
0.649,0.135,0.528,0.378,0.376,0.385,1
0.83,0.535,0.826,0.372,0.264,0.718,1
0.647,0.399,0.676,0.496,0.187,0.12,1
0.612,0.336,0.693,0.591,0.456,0.702,0
0.341,0.33,0.865,0.557,0.405,0.863,1
0.455,0.394,0.719,0.335,0.685,0.379,1
0.074,0.679,0.958,0.436,0.264,0.88,1
0.15,0.462,0.836,0.18,0.457,0.692,1
0.141,0.33,0.481,0.787,0.28,0.847,1
0.666,0.648,0.606,0.291,0.05,0.788,1
0.571,0.601,0.821,0.27,0.266,0.724,0
0.692,0.495,0.73,0.559,0.71,0.157,1
0.174,0.277,0.749,0.241,0.661,0.167,1
0.501,0.833,0.93,0.686,0.571,0.415,1
0.456,0.541,0.551,0.653,0.249,0.895,1
0.7,0.508,0.439,0.506,0.172,0.835,0
0.461,0.438,0.387,0.1,0.671,0.632,1
0.329,0.216,0.622,0.624,0.259,0.247,1
0.737,0.868,0.43,0.304,0.427,0.604,1
0.851,0.173,0.432,0.71,0.645,0.569,1
0.427,0.219,0.584,0.252,0.255,0.533,0
0.086,0.446,0.3,0.64,0.603,0.192,0
0.681,0.316,0.856,0.214,0.1,0.289,0
0.348,0.32,0.362,0.551,0.903,0.223,0
0.557,0.757,0.492,0.615,0.598,0.221,1
0.599,0.306,0.521,0.125,0.689,0.474,1
0.188,0.652,0.731,0.856,0.181,0.904,0
0.638,0.514,0.53,0.492,0.403,0.168,1
0.564,0.697,0.539,0.774,0.373,0.705,1
0.697,0.385,0.609,0.844,0.515,0.51,1
0.752,0.538,0.609,0.419,0.443,0.603,1
0.642,0.587,0.547,0.528,0.435,0.226,1
0.566,0.371,0.442,0.798,0.736,0.429,1
0.343,0.398,0.988,0.498,0.609,0.446,1
0.467,0.604,0.817,0.497,0.728,0.97,1
0.804,0.562,0.583,0.503,0.088,0.714,1
0.529,0.495,0.736,0.874,0.59,0.709,1
0.83,0.611,0.475,0.155,0.158,0.728,1
0.785,0.546,0.503,0.213,0.231,0.635,0
0.335,0.813,0.47,0.289,0.228,0.298,0
0.472,0.122,0.576,0.951,0.751,0.339,1
0.299,0.423,0.743,0.352,0.399,0.734,0
0.777,0.689,0.884,0.403,0.826,0.686,1
0.545,0.527,0.575,0.212,0.219,0.205,0
0.527,0.144,0.566,0.136,0.431,0.436,1
0.627,0.876,0.086,0.488,0.276,0.694,0
0.929,0.239,0.668,0.694,0.733,0.701,1
0.912,0.124,0.588,0.162,0.144,0.637,1
0.474,0.289,0.712,0.248,0.222,0.809,0
0.828,0.36,0.323,0.661,0.297,0.721,1
0.748,0.413,0.366,0.477,0.486,0.78,1
0.676,0.354,0.379,0.07,0.553,0.537,1
0.964,0.702,0.391,0.946,0.196,0.898,1
0.248,0.274,0.305,0.541,0.103,0.638,1
0.378,0.663,0.144,0.679,0.065,0.331,0
0.795,0.799,0.841,0.746,0.451,0.769,1
0.395,0.146,0.276,0.562,0.41,0.44,1
0.621,0.551,0.399,0.151,0.816,0.503,0
0.318,0.489,0.82,0.779,0.33,0.424,1
0.399,0.891,0.953,0.491,0.498,0.433,0
0.675,0.166,0.915,0.73,0.684,0.727,1
0.672,0.575,0.362,0.54,0.442,0.526,0
0.386,0.586,0.831,0.727,0.851,0.008,0
0.657,0.302,0.554,0.554,0.595,0.72,1
0.442,0.591,0.563,0.459,0.781,0.687,1
0.67,0.637,0.964,0.838,0.487,0.402,0
0.539,0.531,0.489,0.847,0.828,0.351,1
0.589,0.713,0.491,0.749,0.585,0.818,0
0.494,0.81,0.758,0.374,0.243,0.25,1
0.174,0.219,0.762,0.738,0.583,0.448,1
0.445,0.252,0.888,0.38,0.711,0.441,0
0.621,0.667,0.375,0.763,0.742,0.466,1
0.456,0.452,0.77,0.164,0.238,0.552,1
0.87,0.431,0.679,0.375,0.554,0.211,1
0.69,0.882,0.655,0.906,0.421,0.378,1
0.551,0.914,0.859,0.114,0.338,0.77,0
0.625,0.188,0.789,0.329,0.401,0.45,1
0.126,0.194,0.379,0.841,0.983,0.319,1
0.201,0.766,0.279,0.354,0.858,0.388,0
0.555,0.409,0.878,0.139,0.495,0.617,1
0.678,0.73,0.741,0.721,0.445,0.347,0
0.704,0.695,0.85,0.337,0.634,0.76,0
0.81,0.544,0.485,0.343,0.108,0.677,1
0.422,0.407,0.749,0.641,0.817,0.588,1
0.016,0.175,0.57,0.295,0.603,0.218,1
0.261,0.7,0.628,0.604,0.573,0.416,1
0.457,0.218,0.91,0.224,0.4,0.285,1
0.303,0.601,0.798,0.593,0.159,0.142,1
0.125,0.409,0.977,0.374,0.463,0.488,1
0.803,0.788,0.477,0.299,0.422,0.416,0
0.639,0.533,0.811,0.592,0.637,0.346,1
0.483,0.436,0.136,0.529,0.485,0.284,1
0.387,0.179,0.912,0.01,0.654,0.139,1
0.546,0.114,0.611,0.878,0.614,0.123,0
0.561,0.306,0.299,0.619,0.045,0.423,1
0.755,0.233,0.81,0.572,0.442,0.433,1
0.448,0.275,0.451,0.472,0.489,0.845,1
0.379,0.831,0.865,0.392,0.629,0.411,1
0.837,0.462,0.531,0.237,0.924,0.248,1
0.636,0.761,0.728,0.261,0.884,0.38,0
0.546,0.871,0.233,0.797,0.338,0.645,1
0.595,0.115,0.669,0.204,0.466,0.238,1
0.564,0.838,0.418,0.513,0.731,0.8,0
0.422,0.673,0.455,0.483,0.846,0.051,1
0.453,0.901,0.784,0.134,0.768,0.768,1
0.43,0.89,0.729,0.771,0.157,0.557,0
0.191,0.718,0.849,0.666,0.314,0.511,1
0.788,0.379,0.942,0.958,0.189,0.378,1
0.146,0.676,0.836,0.368,0.569,0.792,1
0.743,0.136,0.701,0.334,0.544,0.588,1
0.52,0.884,0.969,0.742,0.23,0.714,0
0.653,0.729,0.759,0.06,0.419,0.645,1
0.105,0.358,0.52,0.615,0.592,0.89,1
0.711,0.649,0.679,0.555,0.595,0.317,0
0.437,0.767,0.934,0.833,0.345,0.764,0
0.548,0.895,0.637,0.71,0.172,0.345,0
0.237,0.354,0.733,0.156,0.657,0.689,1
0.319,0.231,0.597,0.275,0.43,0.568,1
0.561,0.098,0.304,0.153,0.529,0.172,0
0.724,0.349,0.44,0.248,0.951,0.358,0
0.302,0.891,0.512,0.736,0.431,0.479,1
0.348,0.553,0.336,0.551,0.809,0.33,1
0.882,0.678,0.285,0.219,0.212,0.467,0
0.372,0.202,0.747,0.742,0.305,0.632,1
0.53,0.481,0.545,0.163,0.255,0.219,0
0.49,0.952,0.899,0.979,0.655,0.547,1
0.808,0.222,0.655,0.671,0.413,0.735,1
0.848,0.854,0.939,0.237,0.526,0.744,1
0.862,0.786,0.539,0.733,0.632,0.14,1
0.623,0.797,0.528,0.653,0.748,0.938,0
0.501,0.643,0.739,0.232,0.232,0.234,0
0.714,0.432,0.617,0.414,0.266,0.097,1
0.677,0.676,0.457,0.545,0.529,0.55,0
0.441,0.169,0.76,0.621,0.34,0.778,0
0.781,0.64,0.509,0.63,0.581,0.653,1
0.581,0.128,0.519,0.408,0.597,0.293,1
0.166,0.331,0.675,0.309,0.831,0.501,0
0.352,0.034,0.481,0.702,0.599,0.862,0
0.587,0.587,0.877,0.751,0.816,0.242,1
0.722,0.243,0.384,0.451,0.542,0.456,1
0.625,0.4,0.574,0.492,0.374,0.275,1
0.832,0.268,0.796,0.374,0.565,0.249,1
0.279,0.57,0.734,0.154,0.27,0.848,1
0.539,0.496,0.296,0.559,0.826,0.501,1
0.739,0.746,0.894,0.349,0.181,0.203,1
0.579,0.377,0.669,0.344,0.374,0.294,0
0.382,0.527,0.493,0.166,0.184,0.34,1
0.241,0.511,0.838,0.599,0.366,0.347,1
0.193,0.18,0.93,0.321,0.703,0.051,0
0.439,0.571,0.027,0.441,0.17,0.585,0
0.647,0.455,0.41,0.629,0.665,0.431,1
0.477,0.292,0.622,0.54,0.233,0.376,0
0.94,0.326,0.721,0.588,0.738,0.742,1
0.174,0.579,0.48,0.489,0.352,0.484,0
0.5,0.31,0.443,0.575,0.199,0.383,0
0.265,0.222,0.797,0.744,0.212,0.367,1
0.169,0.874,0.256,0.536,0.644,0.534,0
0.939,0.52,0.449,0.685,0.838,0.335,1
0.812,0.628,0.873,0.168,0.458,0.637,0
0.515,0.429,0.332,0.253,0.388,0.532,1
0.711,0.754,0.492,0.333,0.347,0.633,1
0.293,0.629,0.413,0.883,0.217,0.889,1
0.269,0.614,0.53,0.31,0.147,0.49,1
0.08,0.448,0.518,0.63,0.147,0.287,1
0.666,0.064,0.816,0.576,0.313,0.549,0
0.774,0.735,0.735,0.85,0.651,0.545,0
0.376,0.617,0.844,0.275,0.488,0.373,0
0.164,0.559,0.889,0.833,0.746,0.603,0
0.699,0.908,0.419,0.781,0.851,0.634,1
0.658,0.205,0.65,0.613,0.587,0.71,1
0.646,0.542,0.318,0.642,0.526,0.911,0
0.328,0.315,0.327,0.427,0.508,0.423,1
0.458,0.255,0.494,0.303,0.447,0.893,0
0.873,0.453,0.872,0.647,0.574,0.574,1
0.337,0.285,0.907,0.356,0.651,0.15,0
0.835,0.761,0.196,0.931,0.533,0.206,0
0.528,0.39,0.454,0.944,0.574,0.234,1
0.584,0.259,0.798,0.383,0.479,0.351,1
0.645,0.358,0.842,0.081,0.179,0.917,1
0.873,0.164,0.94,0.539,0.699,0.825,1
0.543,0.56,0.364,0.607,0.535,0.19,1
0.218,0.661,0.699,0.371,0.844,0.156,1
0.073,0.287,0.815,0.412,0.754,0.659,1
0.722,0.4,0.756,0.19,0.676,0.101,0
0.334,0.745,0.551,0.21,0.38,0.679,1
0.66,0.145,0.739,0.579,0.463,0.634,1
0.18,0.226,0.849,0.167,0.656,0.693,1
0.273,0.209,0.832,0.689,0.208,0.815,1
0.58,0.46,0.777,0.655,0.454,0.412,1
0.739,0.689,0.821,0.944,0.624,0.452,1
0.403,0.906,0.829,0.446,0.678,0.622,1
0.774,0.242,0.74,0.796,0.352,0.329,0
0.247,0.602,0.81,0.659,0.221,0.739,1
0.171,0.64,0.892,0.659,0.832,0.326,1
0.587,0.842,0.576,0.261,0.704,0.778,0
0.443,0.813,0.753,0.656,0.326,0.517,0
0.394,0.784,0.364,0.313,0.246,0.245,0
0.549,0.289,0.665,0.544,0.25,0.28,0
0.374,0.667,0.299,0.234,0.254,0.485,0
0.317,0.352,0.556,0.562,0.391,0.844,1
0.745,0.485,0.612,0.417,0.532,0.314,1
0.658,0.635,0.811,0.305,0.436,0.115,1
0.604,0.513,0.507,0.637,0.203,0.337,1
0.889,0.149,0.532,0.273,0.559,0.489,1
0.354,0.148,0.748,0.479,0.259,0.755,1
0.707,0.518,0.702,0.312,0.374,0.172,0
0.755,0.321,0.892,0.513,0.716,0.2,1
0.572,0.356,0.687,0.414,0.161,0.494,0
0.826,0.618,0.906,0.469,0.36,0.405,1
0.357,0.273,0.763,0.196,0.126,0.418,0
0.515,0.563,0.269,0.214,0.501,0.577,1
0.721,0.719,0.461,0.512,0.138,0.777,1
0.242,0.819,0.72,0.603,0.27,0.434,0
0.519,0.943,0.484,0.341,0.737,0.334,1
0.366,0.844,0.466,0.174,0.433,0.542,0
0.689,0.332,0.859,0.953,0.154,0.708,0
0.252,0.476,0.652,0.608,0.095,0.511,1
0.823,0.059,0.88,0.362,0.869,0.739,1
0.835,0.821,0.699,0.301,0.162,0.793,0
0.187,0.613,0.798,0.426,0.351,0.419,1
0.352,0.547,0.766,0.696,0.472,0.6,0
0.331,0.412,0.574,0.445,0.8,0.599,1
0.653,0.307,0.408,0.799,0.97,0.729,1
0.761,0.21,0.176,0.34,0.424,0.283,1
0.486,0.709,0.85,0.395,0.76,0.556,1
0.932,0.399,0.418,0.621,0.353,0.303,0
0.49,0.288,0.46,0.172,0.502,0.839,0
0.543,0.844,0.642,0.719,0.908,0.381,1
0.456,0.465,0.85,0.557,0.18,0.196,0
0.85,0.966,0.881,0.866,0.058,0.365,0
0.416,0.784,0.746,0.95,0.801,0.775,0
0.753,0.576,0.836,0.437,0.445,0.407,1
0.551,0.385,0.147,0.631,0.604,0.346,0
0.31,0.428,0.603,0.301,0.622,0.584,0
0.509,0.702,0.813,0.407,0.547,0.285,1
0.332,0.928,0.947,0.782,0.739,0.712,0
0.69,0.55,0.742,0.156,0.403,0.367,1
0.779,0.278,0.642,0.834,0.545,0.211,1
0.766,0.431,0.533,0.642,0.493,0.326,1
0.76,0.217,0.598,0.627,0.43,0.48,1
0.355,0.247,0.249,0.169,0.561,0.133,1
0.524,0.436,0.811,0.665,0.584,0.625,1
0.236,0.582,0.601,0.71,0.589,0.716,0
0.891,0.503,0.507,0.477,0.167,0.575,0
0.382,0.138,0.492,0.416,0.756,0.436,1
0.756,0.32,0.662,0.547,0.68,0.363,1
0.132,0.262,0.684,0.304,0.536,0.182,0
0.479,0.919,0.473,0.562,0.787,0.671,1
0.143,0.759,0.782,0.357,0.52,0.414,1
0.831,0.557,0.759,0.553,0.753,0.24,1
0.415,0.55,0.572,0.06,0.626,0.481,1
0.651,0.611,0.498,0.256,0.573,0.761,0
0.572,0.283,0.657,0.097,0.778,0.189,1
0.197,0.462,0.453,0.935,0.672,0.69,1
0.367,0.335,0.595,0.604,0.209,0.514,0
0.488,0.684,0.101,0.11,0.519,0.654,0
0.085,0.592,0.588,0.395,0.855,0.873,1
0.599,0.684,0.39,0.12,0.582,0.377,1
0.109,0.745,0.543,0.618,0.121,0.48,1
0.68,0.522,0.528,0.428,0.866,0.524,1
0.594,0.799,0.534,0.389,0.643,0.655,0
0.779,0.513,0.435,0.291,0.797,0.372,1
0.078,0.794,0.951,0.484,0.565,0.073,1
0.887,0.363,0.801,0.291,0.284,0.544,1
0.053,0.415,0.867,0.235,0.322,0.045,0
0.633,0.535,0.532,0.209,0.492,0.251,1
0.122,0.278,0.251,0.486,0.429,0.587,0
0.387,0.494,0.473,0.847,0.348,0.243,1
0.133,0.625,0.557,0.411,0.161,0.402,0
0.302,0.176,0.583,0.495,0.518,0.94,0
0.591,0.716,0.87,0.625,0.811,0.565,1
0.618,0.505,0.935,0.283,0.515,0.455,1
0.376,0.648,0.925,0.315,0.424,0.546,0
0.777,0.344,0.458,0.167,0.724,0.506,1
0.174,0.749,0.927,0.437,0.239,0.837,0
0.166,0.511,0.597,0.894,0.974,0.614,1
0.15,0.149,0.749,0.946,0.113,0.608,0
0.475,0.756,0.454,0.434,0.681,0.046,0
0.109,0.923,0.4,0.485,0.278,0.184,1
0.493,0.302,0.931,0.366,0.588,0.517,1
0.65,0.641,0.8,0.245,0.542,0.208,0
0.417,0.548,0.462,0.634,0.183,0.546,1
0.136,0.095,0.329,0.628,0.807,0.363,1
0.679,0.458,0.757,0.609,0.681,0.359,1
0.588,0.344,0.505,0.617,0.477,0.652,1
0.437,0.777,0.642,0.216,0.304,0.433,0
0.333,0.57,0.237,0.418,0.679,0.693,1
0.629,0.41,0.565,0.728,0.87,0.477,1
0.892,0.508,0.997,0.42,0.128,0.67,1
0.378,0.759,0.391,0.743,0.308,0.581,0
0.273,0.071,0.419,0.438,0.473,0.189,1
0.238,0.826,0.391,0.803,0.596,0.254,0
0.516,0.743,0.563,0.634,0.729,0.922,0
0.659,0.788,0.359,0.445,0.667,0.603,1
0.201,0.215,0.867,0.406,0.532,0.731,1
0.53,0.847,0.679,0.957,0.36,0.249,1
0.508,0.461,0.63,0.746,0.558,0.078,1
0.474,0.459,0.296,0.232,0.321,0.188,1
0.552,0.119,0.331,0.584,0.165,0.697,0
0.426,0.452,0.631,0.613,0.288,0.498,1
0.212,0.524,0.518,0.344,0.068,0.295,1
0.21,0.864,0.745,0.709,0.343,0.406,1
0.311,0.427,0.53,0.374,0.661,0.958,1
0.719,0.481,0.767,0.946,0.676,0.19,1
0.239,0.775,0.691,0.517,0.594,0.669,0
0.518,0.818,0.32,0.619,0.598,0.757,1
0.526,0.522,0.791,0.459,0.465,0.723,0
0.955,0.227,0.832,0.683,0.579,0.486,1
0.766,0.301,0.838,0.637,0.797,0.759,0
0.623,0.69,0.854,0.627,0.887,0.414,0
0.413,0.482,0.616,0.666,0.846,0.513,0
0.463,0.449,0.732,0.205,0.43,0.411,0
0.549,0.115,0.625,0.701,0.142,0.38,1
0.26,0.345,0.173,0.303,0.39,0.727,1
0.458,0.432,0.9,0.425,0.864,0.516,1
0.75,0.501,0.54,0.59,0.455,0.713,1
0.12,0.227,0.379,0.546,0.289,0.304,0
0.27,0.179,0.345,0.253,0.622,0.234,1
0.845,0.465,0.945,0.564,0.383,0.073,1
0.65,0.921,0.516,0.858,0.888,0.523,1
0.639,0.309,0.668,0.501,0.551,0.515,1
0.61,0.533,0.651,0.776,0.677,0.152,0
0.214,0.516,0.621,0.527,0.414,0.137,0
0.632,0.237,0.864,0.49,0.059,0.588,0
0.308,0.214,0.841,0.27,0.934,0.787,1
0.609,0.786,0.365,0.359,0.274,0.866,0
0.355,0.555,0.594,0.92,0.224,0.119,0
0.889,0.774,0.436,0.683,0.799,0.474,1
0.164,0.583,0.797,0.264,0.466,0.59,0
0.264,0.315,0.589,0.715,0.095,0.566,0
0.721,0.414,0.558,0.374,0.402,0.856,1
0.446,0.175,0.725,0.236,0.766,0.01,1
0.518,0.519,0.499,0.32,0.65,0.162,1
0.668,0.735,0.396,0.122,0.354,0.652,1
0.494,0.766,0.509,0.847,0.816,0.723,1
0.319,0.051,0.296,0.18,0.324,0.835,0
0.357,0.415,0.553,0.144,0.508,0.657,1
0.226,0.482,0.823,0.451,0.414,0.831,1
0.714,0.894,0.575,0.188,0.788,0.761,1
0.729,0.907,0.554,0.7,0.561,0.748,0
0.292,0.498,0.652,0.373,0.217,0.893,1
0.396,0.278,0.822,0.407,0.104,0.481,1
0.819,0.427,0.508,0.291,0.373,0.735,1
0.547,0.439,0.596,0.761,0.72,0.818,0
0.768,0.434,0.806,0.481,0.064,0.835,0
0.361,0.116,0.074,0.717,0.234,0.385,0
0.604,0.624,0.846,0.147,0.524,0.962,1
0.661,0.795,0.851,0.245,0.404,0.094,0
0.883,0.32,0.472,0.822,0.692,0.264,0
0.173,0.443,0.442,0.428,0.501,0.712,1
0.96,0.17,0.636,0.331,0.346,0.613,1
0.857,0.744,0.706,0.555,0.595,0.088,0
0.543,0.946,0.871,0.757,0.212,0.182,1
0.644,0.233,0.479,0.275,0.628,0.576,0
0.388,0.336,0.622,0.504,0.502,0.243,0
0.67,0.54,0.685,0.587,0.256,0.584,1
0.247,0.572,0.562,0.051,0.606,0.501,0
0.537,0.426,0.604,0.326,0.818,0.572,1
0.56,0.415,0.778,0.399,0.366,0.607,1
0.754,0.201,0.607,0.664,0.343,0.625,1
0.408,0.42,0.901,0.465,0.644,0.588,1
0.221,0.753,0.595,0.44,0.27,0.46,0
0.88,0.905,0.296,0.248,0.835,0.285,1
0.617,0.568,0.282,0.222,0.688,0.576,1
0.456,0.812,0.284,0.452,0.739,0.499,0
0.541,0.49,0.474,0.775,0.193,0.526,1
0.81,0.691,0.508,0.759,0.368,0.333,1
0.456,0.335,0.643,0.104,0.171,0.348,0
